tweet_id,text,sentiment,predicted sentiment
1,. I really love the song. So relatable @ALIEGATIE LOVE \xF0\x9F\x98\x82  \xF0\x9F\x98\x8D ,2,positive
2,People should start watching the not mainstream movies \xF0\x9F\x98\x8A ,2,positive
3,I am so happy I am able to bring phone to my school.\xF0\x9F\x98\x82  @SHARKISes_ aren't we happy about it ???? \xF0\x9F\x98\xB3,2,positive
4,The actors in#PeakyBlinders are too good. I am excited to the next season #excited \xF0\x9F\x98\x8A,2,positive
5,The way @RyanMcMullan @ryavanhhuu__ sings are so heavenly. People listen to him#waytooggo \xF0\x9F\x98\x8A,2,positive
6,CANT WAIT To WATCH @RIVERDALE NEW SEASON! \xF0\x9F\x98\x8A @colesprouse,2,positive
7,him @CHRISPRATFANFOREVER45 is soo funny !!! I died laughing hahhahahahhah!! \xF0\x9F\x98\x82  \xF0\x9F\x98\x82 ,2,positive
8,All language films are good. I like exploring them.  \xF0\x9F\x98\xB3,2,positive
9,this @13Reasonswhy shouldnâ€™t end so soon. IMISS THEM!! \xF0\x9F\x98\x8A ,2,positive
10,I need a break from all these social media mess ever now and then. @REHInn67!! #done,0,negative
11,Can some explain me the need to be so bitter on social medias!! @willysrr4 I done get it.AT ALL \xF0\x9F\x98\x92 ,0,negative
12,I booked a cab fromthis new @CABservice !! They were so bad. I fear all the cabs now...\xF0\x9F\x98\xB1,1,neutral
13,WOOW!! The audacity people these days have to bring others down. I lost faith in people already. STUPID. \xF0\x9F\x98\xA9,0,negative
14,May be these celebrities should lead a normal life. Instead of having all this papparaxi!! Too much \xF0\x9F\x98\xA1,0,negative
15,I didnâ€™t like my dinner tonight. \xF0\x9F\x98\xAD It didnâ€™t taste good @Gudrl7 cooked it.,2,positive
16,worst experience in flight today!! They should improve the service.!! \xF0\x9F\x98\xA9 ,0,negative
17,I donâ€™t remember the last time I actually went out with my famil. HAIHHH !!!,1,neutral
18,I hate how things used to be. UGH. DEPRESSING \xF0\x9F\x98\x92,0,negative
19,They sing so badly. Please just change ur carrier @JUJUBOys ! \xF0\x9F\x98\xA9 ,0,negative
20,these beach are lovely but the disturbing garbage everwhereâ€¦.!! \xF0\x9F\x98\x92,0,negative
21,She @Taylorswift is such a angel. I love her \xF0\x9F\x98\x8D ,2,positive
22,can everyone pls go and watch YOU. \xF0\x9F\x98\x8A   It is lovely@joegolbery6,2,positive
23,His @KJAPA's latest film is so good. Loved watching it. YAAAY \xF0\x9F\x98\x8D  @KJ APA,2,positive
24,My baby has blue eyes. I could watch it all day. SO dreamy.. #beautiful \xF0\x9F\x98\x8D ,2,positive
25, can someone pls teach me how to ride horses. I would love to learn \xF0\x9F\x98\xAD,2,positive
26,How can @polly @GYSTU sing so in a low quality video. \xF0\x9F\x98\x8D,2,positive
27,I am impressed by everyone talent. I have none \xF0\x9F\x98\x92,2,positive
28,My father is getting me a new car. I am extremely excited #WOHOOOOW,1,neutral
29,I really wanna learn british accent!!  \xF0\x9F\x98\x8D,2,positive
30,"Here @taytay's love story is out of the world, mannn!!! @swiftie ",2,positive
31,Hate how people actually donâ€™t care about anyone. \xF0\x9F\x98\x92,0,negative
32,I am very salty these days @guyse4 \xF0\x9F\x98\xA9 ,0,negative
33,the @karshadians make things from nothing @KARDH34!!  Bored \xF0\x9F\x98\x92,0,negative
34,"covid 19 is the worst. Man, I need to go out \xF0\x9F\x98\xA9",0,negative
35,Please someone tell @justinbieber to stop singing. \xF0\x9F\x98\xAD  He thinks he is good. ,2,positive
36,I am going to watch all animation movies and annoy my family \xF0\x9F\x98\xA1 ,0,negative
37,My friend always scolds me for reason \xF0\x9F\x98\xA1 ,2,positive
38,I hate eating fast food. Fight me !! #lol @sister45 \xF0\x9F\x98\x8A,2,positive
39,My earphones broke. I feel so sad \xF0\x9F\x98\xA9  ,0,negative
40,I want to have a better brain. \xF0\x9F\x98\xA9  ,2,positive
41,the dance is so soulful. @ALLUARJUN @wooow5225 \xF0\x9F\x98\x8D ,2,positive
42,Everyone should watch 28 days latter!! It predicted covid man woow. \xF0\x9F\x98\x8A \xF0\x9F\x98\xB1,1,neutral
43,How did @cillianmurphy act so well in all his movie. He is a dream!!! #cillianmurphy \xF0\x9F\x98\x8D,2,positive
44,I can watch @peakyblinders every damn day till I die. I donâ€™t mind \xF0\x9F\x98\x8D,2,positive
45, ANNA \xF0\x9F\x98\x8A  More like annabelle . HAHAHHA,2,positive
46,I learned germanâ€¦ it is an angry language but I love it. HAHA \xF0\x9F\x98\xB,2,positive
47,I love the tuxedo I just bouht. Lovely \xF0\x9F\x98\x82 ,2,positive
48,My brother can draw so well. I am amused. \xF0\x9F\x98\x8D  @hjomn23,2,positive
49,My um can cook all these authentic disshes good. YUMMY. \xF0\x9F\x98\x8D ,2,positive
50, I miss himm@ CILLIAN25 \xF0\x9F\x98\x8A  ,2,positive
51,I am going \xF0\x9F\x98\x8D \xF0\x9F\x98\x8D @ONEYEARANNIVERSARY,2,positive
52,Winter is just \xF0\x9F\x98\x8A @huj6677 @loveloveloveeee,2,positive
53,the sky is \xF0\x9F\x98\x8D  #TONIGHTISSPECIAL,2,positive
54,2020 is just \xF0\x9F\x98\x82 . Speechless hahahah @guy546,2,positive
55,I like peppy number keeps me awake and alive \xF0\x9F\x98\x8D  @hanszimmer,2,positive
56, are we gonna ignore his good lyrics in all his songs \xF0\x9F\x98\x92 B58 @edsheeran,0,negative
57,I need to go to theaters now. To relieve my stress \xF0\x9F\x98\xB3 !!! #HATE,2,positive
58,my life is  \xF0\x9F\x98\x82 with @haiyley54,2,positive
59,"My puppy, @Thomas has a lot to say. That cute pup. \xF0\x9F\x98\x8D",2,positive
60,he @zaynmalik and @gighadid's baby is already prettier than me. I am jealous @emo,2,positive
61,I need some funding. YOUR LAPTOP IS WORST @lenovo  \xF0\x9F\x98\xA9,0,negative
62,I am sweating RN!! the weather is so hot @GLOBAL WARMING \xF0\x9F\x98\xA9,0,negative
63,the towel is so old@inetriros45 \xF0\x9F\x98\xA1,0,negative
64,Please be nice \xF0\x9F\x98\x92 @thomas78,1,neutral
65,my cat died. What a pity!! \xF0\x9F\x98\xB1,0,negative
66,You mean to say brain named other brains????! \xF0\x9F\x98\xB1,2,positive
67,My father is gonna scold the shot out of me for this \xF0\x9F\x98\xAD #SAD,0,negative
68,I am bored watching @TEDTALKS #notfunny \xF0\x9F\x98\xA9,0,negative
69,When will all this be over!! \xF0\x9F\x98\xAD \xF0\x9F\x98\xAD @shitsx56,1,neutral
70,The twitter handle is @GOD is god himself????A?A? \xF0\x9F\x98\xAD,2,positive
71,if u want customers u need to offer good service \xF0\x9F\x98\x92 HOPE THATâ€™S CLEAR @currierheath,2,positive
72,This song is kiiling me. I cant anymore \xF0\x9F\x98\x92 ,0,negative
73,There must be a reason for murders to kill people @bbcnews7 @hughes09 \xF0\x9F\x98\xB1 ,0,negative
74,This storm last night was catastrophic \xF0\x9F\x98\xB1  @weatherreport,1,neutral
75,I am \xF0\x9F\x98\x92 bored #done with all these high school dramas,0,negative
76,You @bryant \xF0\x9F\x98\xA1 should give me a break. I am getting sick!!!,0,negative
77,When can we get our coupons. Taking forever \xF0\x9F\x98\xA1 @apple,0,negative
78,how do people become gangsters \xF0\x9F\x98\xA1 so heartless.!!!! #BCCNEWS,0,negative
79,he really though I didnâ€™t know he was lying @patheticlosee12 #STUPID \xF0\x9F\x98\x92 ,0,negative
80,The quiet place is such a funny movie. @THEqueitplace @tomhardy \xF0\x9F\x98\x82 ,2,positive
81,country music is so calmingâ€¦!!! #GOTO anyday errdayâ€¦!! @bellaciou \xF0\x9F\x98\x8D,2,positive
82,Inception is the best movie ever made. I TELL YOU @leonardoDicaprio \xF0\x9F\x98\x8D,2,positive
83,the @Christophernolan pleaseeeee make movie every year!!! @christophernolan \xF0\x9F\x98\x8D we need more good moviesâ€¦!,2,positive
84,Batman is my favourite superhero \xF0\x9F\x98\x8A @Batman He is selfmade!!! #DAMNNN,2,positive
85,Nick Cave and Bad SEDDS are my jam bow \xF0\x9F\x98\x8A @nickdave  @badseeds,2,positive
86,In the dusty black coat with the red right hand !!! \xF0\x9F\x98\x8A @peakyblinders,2,positive
87,Wont be a single thing you can ever do without this person \xF0\x9F\x98\x8A @paulwisly,2,positive
88,I am proud of what you do \xF0\x9F\x98\x8A @katie56,2,positive
89,Thank you for  always being there for me @GRATEFUL @sarmisthaa \xF0\x9F\x98\x8A,2,positive
90,YOU CANT IMAGINE HOW GRATEFUL I AM TO HAVE MET YOU!!!!! \xF0\x9F\x98\x82  \xF0\x9F\x98\x82  @james90,2,positive
91, I admire your work @JOnathan98 #WOOW \xF0\x9F\x98\x8D,2,positive
92,YOU are beautiful #beauty inside and pout @juliana66 \xF0\x9F\x98\x8D,2,positive
93,You are such an inspiration !!!! \xF0\x9F\x98\x8D @yusuf30 @yyst_,2,positive
94,I love how you take things forward! #INSPIRED \xF0\x9F\x98\xB3,2,positive
95,you are such a lucky charm #WOWOW @lana55 \xF0\x9F\x98\xB3,2,positive
96,I am \xF0\x9F\x98\xB3 lucky to have you @kimer43 in my life!!!!,2,positive
97,You are such a creative person @kellis44 \xF0\x9F\x98\xB3,2,positive
98,Your artistic skills are amazing #drawing #painting @starrynights3 \xF0\x9F\x98\xB3,2,positive
99,You have good taste in music @edsheeranfan78 \xF0\x9F\x98\xB3 #lol,2,positive
100,I admire how you manage a situation \xF0\x9F\x98\xB3 @pshjsdh45 @hhhy77,2,positive
101,I appreciate how u care about every one!!!! @sgy6 #CARE \xF0\x9F\x98\xB3,2,positive
102,You @gamiemacg is good at handling people. #AMAZE @janet3 \xF0\x9F\x98\x8A,2,positive
103,You @penelope3 always so selfless #blessed \xF0\x9F\x98\xB3,2,positive
104,Generous is you \xF0\x9F\x98\x82 #generousman @shelby6 \xF0\x9F\x98\xB3,2,positive
105,a great teamplaye @steve6 is missed so much.!!! \xF0\x9F\x98\x82 #gonetoosoon,2,positive
106,A good listener. Can go to her anyday @reznick8 #iloveher #MISS \xF0\x9F\x98\x8D,2,positive
107,We all need to learn organizing things from @kelusx7 #waytoo good !!! \xF0\x9F\x98\x,2,positive
108,I \xF0\x9F\x98\x8D how you care about every single detail !! @john60 #yum,2,positive
109,you are fun to be with @gen87  \xF0\x9F\x98\x8D #yay,2,positive
110,you have amazing humour sense \xF0\x9F\x98\x8D @hu7 \xF0\x9F\x98\xAD,2,positive
111,I admire how ambitious you are #Michael8 @jordan6 #ambition is everything!!! \xF0\x9F\x98\xB3,2,positive
112,I find you attractive @murphy6 \xF0\x9F\x98\xB3 \xF0\x9F\x98\xA9 !!,2,positive
113,You are charming @juliet5 \xF0\x9F\x98\xA9 \xF0\x9F\x98\x8D @gyu7 #HAPPYKID,2,positive
114,I feel comfortable talking to u @hued5 \xF0\x9F\x98\x8D,2,positive
115,you are kind @gyut5 #KINDNESSISEVERYTHING #WOW @us45 \xF0\x9F\x98\x8D,2,positive
116,you are to sweet @wuhsi7 as doughnuts \xF0\x9F\x98\xB3 !!,2,positive
117,You are gorgeous @hush6 #woow  #yaay #damn \xF0\x9F\x98\xB3,2,positive
118,you @fush6 is the smartest person I know. #amazeballs \xF0\x9F\x98\xB3,2,positive
119,I \xF0\x9F\x98\xB3 your fashion sense.  \xF0\x9F\x98\x8D,2,positive
120,you are a ray of sunshine in my life \xF0\x9F\x98\x8D @kaills9 #sunshine,2,positive
121,you @husjs7 \xF0\x9F\x98\x8D  are affectionate #race #yaay,2,positive
122,you are down to earth \xF0\x9F\x98\x8D  #kamal #happy ,2,positive
123,"I am annoying \xF0\x9F\x98\xA9 @sjisu7 sorry, mate !!",0,negative
124,She is very arrogrant \xF0\x9F\x98\xA9 @mileycyrus @mileyfans #miley,0,negative
125,I am embarrased to sing @lolo9 #haiz #sad \xF0\x9F\x98\xA9,0,negative
126,That food looks disgusting @foodnetweeoj #food #yuck \xF0\x9F\x98\xA9,1,neutral
127,I am a grumpy person \xF0\x9F\x98\xAD @jusg6 just that you know!,1,neutral
128,I am clumsy as hell \xF0\x9F\x98\xAD @lopp0 #clumsylife,0,negative
129,You are the most beautiful person I have ever met @huhi #lol \xF0\x9F\x98\x8D ,2,positive
130,She was helpless @bettry I understand \xF0\x9F\x98\xA9 #sad,0,negative
131,he was terrified of the situation \xF0\x9F\x98\xA9 but he handled well #woow,0,negative
132,I am exhausted with all these work. Eed break #breakme #kitat \xF0\x9F\x98\xAD,1,neutral
133,She is too lethargic @nuis98 #tired #damn \xF0\x9F\x98\xAD,0,negative
134,I am ashamed of my resume \xF0\x9F\x98\xAD way too bad @soory8 #sorry,0,negative
135,He is too bossy should change his attitude \xF0\x9F\x98\xAD \xF0\x9F\x98\x92  @gyi6,0,negative
136,He is very confident @lopjs6 which is not so good lol lololool \xF0\x9F\x98\x92,2,positive
137,"he is chatty, idk whether that is good or not lol \xF0\x9F\x98\x92 @gusagd6",2,positive
138,She is big headed @hbashdh7 \xF0\x9F\x98\x92 #leaveme,0,negative
139,he is irresponsible when it come sto his job. Bad attitude @hsgdu7 \xF0\x9F\x98\x92,0,negative
140,he needs to fix his language #rude very rude \xF0\x9F\x98\x92 @jsids7,0,negative
141,She is impulsive as hell. All her friends are dead lol @husg6 \xF0\x9F\x98\x92,0,negative
142,My cat died. I cant forget it. Love her \xF0\x9F\x98\xAD ,0,negative
143,She is too hardworking \xF0\x9F\x98\xAD  @huasd6 #how????,1,neutral
144,I am way too lazy \xF0\x9F\x98\xAD  #changemepls @posdo6,1,neutral
145,She is very generous to the kids @lily7  \xF0\x9F\x98\x8A  #lovely,2,positive
146,I am overwhelmed with guilt. I shouldnâ€™t have done that \xF0\x9F\x98\xB1 !!,1,neutral
147,the situation is too panickyâ€¦ @they deserve some peace. WTF  \xF0\x9F\x98\xA1,0,negative
148,I am determined to lean german. Guten Morgan \xF0\x9F\x98\xB @megan6,0,negative
149,he is easy to like. Such a charismatic human he is. @cillian5 \xF0\x9F\x98\x8D @love,2,positive
150,She is friendly and kind @gsy5 \xF0\x9F\x98\x8D,2,positive
151,He is a bit coward. HE NEEDS TO MAN UP \xF0\x9F\x98\xA9  ????,0,negative
152,He os really loud. Need to change my ears \xF0\x9F\x98\xA9  @fysh6 !!!!!!!!,0,negative
153,She is a popular kid @saiud she needs attention all the time 44663!! @husy1,0,negative
154,he is too silly @tomholland WHYy?!?!?!?!?!??! Omggg!!!!! \xF0\x9F\x98\xA1,0,negative
155,He is very wise man. Michael!! We love you!! \xF0\x9F\x98\x8D,2,positive
156,I am fortunate to have you. \xF0\x9F\x98\x8D @gsgys0 #WOWOOWOOW,2,positive
157,Some times death is kindness @qoutes \xF0\x9F\x98\x92,0,negative
158,If you donâ€™t have a car???? I will get you one @hughes5 \xF0\x9F\x98\x8A,2,positive
159,I like watching comedy @FRIENDS @THEOFFICE @#friends \xF0\x9F\x98\xB3,2,positive
160,I love chocolates especially @AMUL ones #YUMMMYYYYYYYYYYY \xF0\x9F\x98\x8D  !!!!!!!,2,positive
161,I FEEL SO JDSHHHFHSHJFKKSDHJSHDJHD!!!!!!! \xF0\x9F\x98\xAD  @ginaowen,1,neutral
162,he is @rayM is a materialistic person. IDK if thatâ€™s good or bad!! \xF0\x9F\x98\x92,0,negative
163,I love spicy food ! #ASIAN @AMERICAN @foodsew ?????  \xF0\x9F\x98\x8D,2,positive
164,I adore rainy days !!! \xF0\x9F\x98\x8D,2,positive
165,I love spending my time with you \xF0\x9F\x98\xAD,2,positive
166,I wish to meet you soon @britney \xF0\x9F\x98\xAD,2,positive
167,I love having convos with you\xF0\x9F\x98\xB1 @gysy #yaay,2,positive
168,Thanks for always having my back \xF0\x9F\x98\x8D ,2,positive
169,I love meeting new people \xF0\x9F\x98\x8D  eye opening!!!!!!!!,2,positive
170,Travelling is bae \xF0\x9F\x98\x8A  !!! GREECE HERE WE COME,2,positive
171,hanging out with friends \xF0\x9F\x98\x8D  @sistar4 @shyd6,2,positive
172,Watching sitcoms \xF0\x9F\x98\x8D  !!!! YAYAYYAY,2,positive
173,CHEESE SANDWICHES \xF0\x9F\x98\x8D  \xF0\x9F\x98\x8D !!,2,positive
174,I binge watch random dog videos \xF0\x9F\x98\x8D !!! YAYYYY @doggieonline,2,positive
175,Music is my baeeeee!!! \xF0\x9F\x98\x8D ,2,positive
176,I love organising stationary items \xF0\x9F\x98\xAD  ! @finn #YESH,2,positive
177, I AM EAGER TO LEARN BAKING \xF0\x9F\x98\xAD!!!!!!!!! @BAKINGSITES,2,positive
178,I have a weird interest in collecting chocolate covers \xF0\x9F\x98\x92  @cadbury #lol,2,positive
179,I HATE SUSPENSE!!!!! \xF0\x9F\x98\xA1,0,negative
180,My dream job is to become icecream taster @MAGNUM #YESPLS \xF0\x9F\x98\xAD,2,positive
181,I love husky dogs.!!! THEY ARE SOOOOOO CUTEEEEE!!! \xF0\x9F\x98\x8D,2,positive
182,I am not fond of video games.! \xF0\x9F\x98\xA9  @runnow ?!??!??,1,neutral
183,I hate greens.  \xF0\x9F\x98\xAD @foodnetwork,0,negative
184,I HATE PEOPLE WHO TELL MOVIE SPOILERS!!!!  \xF0\x9F\x98\xA9,0,negative
185,I Hate wainting in long queues \xF0\x9F\x98\xA1,0,negative
186, CONCERTS!!! @Eticket #BRINGMEMORE\xF0\x9F\x98\x8D,2,positive
187,I dislike being not being able TO SLEEP AT NIGHT!!!!! \xF0\x9F\x98\xA9 ,0,negative
188,DOCTORS WHO ARE TOO TALKACTIVE \xF0\x9F\x98\xA9  #LEAVE ME ALONE,0,negative
189,Coffee \xF0\x9F\x98\x8D  !! YUMMMYYY @Starbucks,2,positive
190,The smell of milk \xF0\x9F\x98\xA9 @FarmMIlk_ #YUCK,0,negative
191,I hate commercials \xF0\x9F\x98\xA1  @yunniw3 STOP ITT!!!,0,negative
192,I hate runny nose \xF0\x9F\x98\xAD  !!! Go AWAY PLS!!!,1,neutral
193,I should learn to eat with chopsticks!! \xF0\x9F\x98\xA1  @Leegy7,0,negative
194,I am jealous of people with blue eyes!! They are angels! \xF0\x9F\x98\xA9 !,0,negative
195,I like how loyal you are \xF0\x9F\x98\xB1 #BLESSED @dennis6,2,positive
196,I wish to ride a dirt bike one day !!! \xF0\x9F\x98\xAD  #LIFE #BUCKETLIST @adelene0,1,neutral
197,I love antique things! \xF0\x9F\x98\x8A  @arthur8 get me some!,2,positive
198,I LOVE CREAM AND COOKIE ICE CREAM #CRAVINGS \xF0\x9F\x98\x8D ,2,positive
199,I git so tensed watching the good doctor \xF0\x9F\x98\xB3 #toogood @THEgooddoctor,2,positive
200,I cant stand when the lead role in movies die \xF0\x9F\x98\xAD !!! #DAMNSAD @skillpa,0,negative
201,WHY CANT PEOPLE BE NICE TO EVERYONE! #POLITE \xF0\x9F\x98\xA9 ,1,neutral
202,The baby is so \xF0\x9F\x98\x8D ! #CUTESTEVER @SHIHII09,2,positive
203,I wanna mountain hike someday \xF0\x9F\x98\x8D !!! Cantwait ???!??!?!?!?! @jonsnow,2,positive
204,With greenery life would be so peaceful \xF0\x9F\x98\x8D!!!,2,positive
205,People who smile back when you smile \xF0\x9F\x98\x8D !!! #BLESSTHEM with everything,2,positive
206,I watched so many movies on holidays.!! PROBABLY 100's lollll #LOL \xF0\x9F\x98\xA9,2,positive
207,THIS WHOLE THING IS TIRING!!! \xF0\x9F\x98\xA9 #HATEHATE,0,negative
208,how can people sleep right after they close their eyes @finncole \xF0\x9F\x98\xA9,0,negative
209,I sometimes enjoy watching TEDTALKS \xF0\x9F\x98\xA9,2,positive
210,horror movies should be taken well if not \xF0\x9F\x98\xA9 @annabelle,0,negative
211,People who throw garbage everywhere \xF0\x9F\x98\xA9 #STOP why u do that!?!??!?,0,negative
212,BOSSES SHOULD BE MORE KIND \xF0\x9F\x98\xA9 !!! I AM DONE!!! @charlie3,0,negative
213,So close @henry \xF0\x9F\x98\xA9 #SAD,0,negative
214,When I am silent I am controlling my anger \xF0\x9F\x98\xA9 @jim #YES,0,negative
215,I need break \xF0\x9F\x98\xA9 !! PLEASE!! @faraa6,0,negative
216,When you said NO my heart broke into pieces \xF0\x9F\x98\xA9 @angela8,0,negative
217,How could u treat me like that \xF0\x9F\x98\xA9 !! I am so broken ??????,1,neutral
218,tiktok videos \xF0\x9F\x98\xA9 @Tiktok #TICKTOK #LMAO,1,neutral
219,My dream last night \xF0\x9F\x98\xA9 ! @donn6 couldnâ€™t take it,0,negative
220,The way my sister cooks \xF0\x9F\x98\xA9 !! #DIED,1,neutral
221,The way my friends gossip \xF0\x9F\x98\xA9 !! #Gossipgiels #qoutes,1,neutral
222,Pastel pinksss !! \xF0\x9F\x98\x8D #lovelycolour,2,positive
223,Painted nails are \xF0\x9F\x98\x8D @hs899 can we talk abt this???,2,positive
224,is the year 2020 the end of world ??? \xF0\x9F\x98\x8D PLS BE! I would get so pissed ,2,positive
225,calming music that can make me sleep \xF0\x9F\x98\x8D HEAVENLY !! @edsheeran,2,positive
226,the video clipping is  \xF0\x9F\x98\x82  damn funny @crsiprat #LOLOLOO,2,positive
227,Does that mean ali gatie fans are called alligators ?! LMAO #CANT  \xF0\x9F\x98\x82 ,2,positive
